Date,Open,High,Low,Close,Volume
2013-03-26,371.5996,375.6496,368.2498,374.6496,200880
2013-03-25,373.9996,379.9996,369.2496,372.5998,383430
2013-03-22,367.5996,371.9998,361.5996,365.1996,352938
2013-03-21,380.9998,383.9998,365.3496,366.9996,501258
2013-03-20,380.6998,382.9996,375.9996,380.5498,304668
2013-03-19,394.6996,396.9996,370.1496,381.4996,730597
2013-03-18,394.7998,394.9996,388.3498,391.0498,271470
2013-03-15,400.9996,407.1996,398.0496,399.9496,468246
2013-03-14,392.1996,399.8496,388.6498,397.0996,694105
2013-03-13,396.8496,398.5996,389.4496,390.6496,271056
2013-03-12,402.9996,404.8996,395.0496,397.2996,295374
2013-03-11,408.9996,410.2498,398.3998,399.9996,463350
2013-03-08,391.4998,408.3496,391.4998,405.1498,1204657
2013-03-07,384.9996,391.9996,383.1496,390.3496,306174
2013-03-06,389.9998,392.6496,383.9998,384.3996,314850
2013-03-05,389.9998,391.1998,382.4998,388.2996,254700
2013-03-04,387.7498,394.8496,377.1496,385.0996,1104943
2013-03-01,371.9998,388.6996,371.9998,386.3998,721297
2013-02-28,384.9996,384.9996,367.9996,371.7996,928897
2013-02-27,372.3496,384.2998,372.3496,379.0498,571801
2013-02-26,380.4996,385.5496,371.0998,375.3496,399528
2013-02-25,392.9496,392.9496,376.1998,382.3498,429828
2013-02-22,394.9996,394.9996,385.4496,388.6498,382812
2013-02-21,395.7496,398.9998,387.3996,390.0496,848437
2013-02-20,381.4996,393.9996,381.2998,392.9998,799855
2013-02-19,380.2996,383.1496,373.4496,381.6496,394788
2013-02-18,391.3996,391.3996,377.0998,379.5496,1006705
2013-02-15,389.9998,394.2496,372.6496,380.1496,1013485
2013-02-14,406.9996,410.7996,382.9996,387.3996,962779
2013-02-13,412.9996,412.9996,399.0496,401.7996,393846
2013-02-12,402.5998,412.2496,399.9996,410.7996,404076
2013-02-11,401.5498,404.7496,393.9996,402.2998,467700
2013-02-08,410.9998,411.8496,399.3996,401.5996,391776
2013-02-07,416.2498,420.3996,408.2998,411.0496,413082
2013-02-06,415.5996,422.4996,410.1996,418.7496,474894
2013-02-05,418.8996,419.9998,407.2498,411.6996,563803
2013-02-04,426.5998,428.9998,415.1998,418.5496,622729
2013-02-01,410.4496,425.5996,410.3998,421.9996,998419
2013-01-31,409.9996,421.4998,407.8996,410.4996,759427
2013-01-30,412.9996,419.4996,405.4996,409.3498,664627
2013-01-29,412.5496,418.3996,406.2996,409.8496,452160
2013-01-28,416.8996,422.6496,412.1998,415.8996,428856
2013-01-25,415.8996,426.4996,412.0996,419.8996,788791
2013-01-24,428.9998,428.9998,412.5496,415.4496,638299
2013-01-23,434.4996,434.5498,411.3996,424.4998,1168333
2013-01-22,440.1996,443.4496,430.7998,433.0996,958825
2013-01-21,438.3996,448.9996,415.3996,440.1996,2827635
2013-01-18,404.9998,437.3998,401.9998,434.0496,7457167
2013-01-17,383.9998,406.8996,381.2496,395.8996,5198567
2013-01-16,388.2496,388.9996,378.2998,381.5998,477300
2013-01-15,375.9996,386.4996,371.1496,385.2496,861595
2013-01-14,374.8996,376.4998,362.5998,373.0498,1110181
2013-01-11,384.9496,384.9496,368.6496,371.1996,593317
2013-01-10,390.2496,395.8498,378.9996,380.9998,2070362
2013-01-09,381.4996,393.4498,374.5996,384.3996,935131
2013-01-08,387.2998,389.7996,377.4996,380.6998,468834
2013-01-07,381.9996,393.1498,376.8496,385.6498,1156705
2013-01-04,368.9998,379.6996,366.1498,373.0498,757351
2013-01-03,364.9998,370.8496,363.2496,366.5496,270234
2013-01-02,358.9998,368.6496,356.8498,367.1496,493506
2013-01-01,357.9498,357.9498,353.7996,356.7996,166338
2012-12-31,354.7998,356.9998,348.9996,356.0998,827509
2012-12-28,347.9998,361.9998,346.9998,353.0496,734641
2012-12-27,346.7998,350.9998,344.1996,345.3498,388962
2012-12-26,346.8498,349.9998,345.0498,348.2496,571105
2012-12-24,346.3998,351.5998,340.9998,346.7998,223404
2012-12-21,347.1498,348.5998,342.0498,344.1498,202020
2012-12-20,356.9998,358.8498,347.4996,349.8996,334332
2012-12-19,350.8998,359.9998,347.4996,357.8998,527539
2012-12-18,344.0998,350.6496,341.9998,349.6498,180258
2012-12-17,354.9996,354.9996,342.9996,344.9998,312384
2012-12-14,351.6996,356.4996,348.9996,350.5498,157140
2012-12-13,354.9498,357.2998,350.2998,350.9998,440364
2012-12-12,362.3998,362.3998,351.4998,353.8498,122586
2012-12-11,355.9998,362.8998,353.9998,358.6998,139980
2012-12-10,360.9498,360.9498,351.0996,356.6998,128490
2012-12-07,358.9998,365.9998,357.9996,358.2498,2085692
2012-12-06,356.3998,361.9998,353.8498,360.7998,588559
2012-12-05,345.9996,359.8998,345.9996,357.9498,302778
2012-12-04,347.6998,352.1496,346.3998,348.9498,366930
2012-12-03,347.5498,347.5498,341.4498,344.0496,282852
2012-11-30,337.9998,349.0998,336.5998,347.5498,402792
2012-11-29,327.9996,338.7498,327.9996,336.4998,276894
2012-11-27,316.7998,330.4998,316.7998,327.8998,471444
2012-11-26,322.5498,322.7998,315.5998,316.0498,179004
2012-11-23,325.6998,327.8998,319.3998,321.3498,248982
2012-11-22,329.0496,329.0496,324.5496,325.5996,273270
2012-11-21,325.9998,328.8996,324.2998,328.1496,102420
2012-11-20,326.2998,327.9996,323.8498,326.1996,110694
2012-11-19,329.9998,332.2498,323.5998,327.9996,238272
2012-11-16,330.0498,330.9996,327.2496,328.4998,148938
2012-11-15,335.9998,335.9998,328.9498,330.6498,98004
2012-11-12,339.4998,340.8996,330.3498,333.1998,1004431
2012-11-09,341.9998,342.4498,335.4996,338.0496,970807
2012-11-08,341.1498,344.0998,338.2998,338.9998,460272
2012-11-07,341.0998,341.6496,338.9998,339.4998,138048
2012-11-06,339.9996,342.3996,338.0496,341.1996,124704
2012-11-05,336.9996,340.2498,336.9996,339.4998,129462
2012-11-02,338.0998,342.1498,335.0496,336.3996,209448
2012-11-01,338.9496,339.7998,335.9496,337.9498,106812
2012-10-31,339.9996,340.1998,335.1996,337.6498,269178
2012-10-30,345.9996,345.9996,337.4998,338.2498,160752
2012-10-29,347.0496,348.7498,341.3496,342.5496,67494
2012-10-26,351.0498,351.4998,347.0998,347.9998,107706
2012-10-25,355.9998,355.9998,346.8498,350.4498,254580
2012-10-23,345.9996,350.1996,343.6498,348.7998,260136
2012-10-22,339.6996,343.9998,335.9998,342.3498,327306
2012-10-19,346.4998,347.4996,336.9996,339.2998,249180
2012-10-18,345.3996,347.9998,342.5998,346.8996,181548
2012-10-17,347.0496,347.3496,342.2998,344.1498,120978
2012-10-16,350.0496,351.6498,343.5996,345.2998,311760
2012-10-15,350.9998,353.0998,349.0498,349.5498,97716
2012-10-12,354.9498,358.4496,349.9998,350.6496,208362
2012-10-11,352.0498,356.7498,350.9998,352.9498,220104
2012-10-10,356.3998,356.3998,350.1498,351.2998,197010
2012-10-09,357.4998,359.9998,351.4998,357.6498,402864
2012-10-08,356.9998,362.4498,354.1998,355.2498,352362
2012-10-05,359.9998,360.4998,349.0998,356.1498,429264
2012-10-04,353.4996,367.9996,352.7496,359.6998,1275883
2012-10-03,351.3996,355.6998,347.5498,348.1498,202242
2012-10-01,351.9996,354.9996,349.9998,351.3996,296682
2012-09-28,349.9998,350.9496,344.9998,346.3498,396918
2012-09-27,353.9496,354.0996,345.0996,346.9498,260022
2012-09-26,351.9498,353.9998,347.3496,350.3496,467430
2012-09-25,347.8998,350.8498,343.6498,348.1998,321924
2012-09-24,352.9998,352.9998,342.5496,344.7498,738433
2012-09-21,344.6496,350.5998,340.9498,347.5998,862435
2012-09-20,337.3998,347.4996,334.9498,345.4498,3038733
2012-09-18,341.9496,343.7998,335.1996,337.1496,550693
2012-09-17,356.4996,357.3498,336.8496,338.6998,828181
2012-09-14,378.8998,378.8998,346.4998,350.0496,3669688
2012-09-13,351.7998,355.8996,350.2998,354.5496,551995
2012-09-12,346.4998,349.8996,344.1996,347.9496,236748
2012-09-11,348.8496,353.2998,345.9996,349.2498,1020307
2012-09-10,344.0998,344.9998,340.5498,343.0498,209310
2012-09-07,354.1998,355.9998,336.0996,344.7996,1284271
2012-09-06,347.9998,350.8998,343.3998,347.8498,350628
2012-09-05,351.9996,356.2998,340.3998,344.8998,644593
2012-09-04,342.9996,348.9996,339.9996,346.7998,253608
2012-09-03,337.0998,341.9496,329.8998,340.2996,281418
2012-08-31,347.2998,348.4998,332.6496,337.0998,626599
2012-08-30,353.4996,356.1996,345.0996,347.2998,202224
2012-08-29,355.9998,356.0998,348.1498,354.5998,204270
2012-08-28,352.6998,357.2496,351.9996,354.2998,259866
2012-08-27,353.9998,357.0996,349.9998,353.7498,195936
2012-08-24,355.9998,358.0998,348.9498,354.5998,419496
2012-08-23,351.8496,352.4998,345.3996,350.3998,241500
2012-08-22,338.0998,350.8998,334.9998,348.4998,476022
2012-08-21,344.9998,344.9998,336.2496,338.8998,215484
2012-08-17,346.9998,346.9998,338.4996,340.9998,297546
2012-08-16,347.4996,347.4996,343.0498,343.9998,1324081
2012-08-14,351.9996,352.9998,346.0498,347.7996,179436
2012-08-13,349.9998,358.2498,347.9998,351.8998,1257679
2012-08-10,339.9996,354.7998,333.6996,352.0998,823219
2012-08-09,354.2998,355.6998,339.9996,341.0998,355668
2012-08-08,342.9996,352.3998,339.8496,351.4998,542797
2012-08-07,347.4996,347.4996,337.6998,340.9498,517638
2012-08-06,353.3496,353.3496,342.1998,344.1498,441828
2012-08-03,353.0998,356.9998,345.2998,352.6498,496386
2012-08-02,363.9996,363.9996,353.0998,354.9498,103578
2012-08-01,360.9996,362.0496,355.6998,359.5998,221712
2012-07-31,365.8998,366.2496,354.5998,363.4998,338052
2012-07-30,356.9998,369.5998,351.5496,365.7996,305052
2012-07-27,363.9996,370.1998,346.0498,355.7496,196752
2012-07-26,367.9996,367.9996,358.1496,360.6996,86322
2012-07-25,370.6996,372.2998,363.0498,365.8498,213966
2012-07-24,374.9998,377.3998,369.7996,372.3496,248274
2012-07-23,382.9996,387.7498,372.5998,375.1498,127236
2012-07-20,387.8998,387.9996,381.1996,383.0496,119166
2012-07-19,379.7998,391.5996,377.4996,387.7996,348816
2012-07-18,375.2998,381.4996,375.2998,376.9996,161334
2012-07-17,385.9996,385.9996,374.9998,376.4496,657901
2012-07-16,387.8998,392.9998,382.2996,387.2998,234462
2012-07-13,389.9998,393.3496,384.2998,386.7496,331878
